gen,plant_id_name,leaflet_id,DPI,leafletweight_ug,CFU,LOG_Y
5425,3,A,0,15.2,21000,7.702863057
5425,3,A,0,15.2,16000,7.821409865
5425,3,A,0,15.2,14000,7.908776634
5425,3,A,3,18.4,220000,8.117346009
5425,3,A,3,18.4,160000,8.127487577
5425,3,A,3,18.4,260000,8.169373155
5425,3,A,6,16.2,2400000,8.56563548
5425,3,A,9,23.4,4000000,8.620586745
5425,3,A,6,16.2,2500000,8.676509791
5425,3,A,9,23.4,5000000,8.597807699
5425,3,A,9,23.4,3000000,8.651866602
5425,3,A,6,16.2,3300000,8.660332696
5425,3,B,3,27.8,11000,7.722807167
5425,3,B,3,27.8,27000,7.802538158
5425,3,B,3,27.8,15000,7.815469392
5425,3,B,0,21.3,23000,7.448910444
5425,3,B,0,21.3,80000,7.476571816
5425,3,B,0,21.3,39000,7.506887885
5425,3,B,6,21,1500000,8.473492139
5425,3,B,6,21,1200000,8.488407598
5425,3,B,6,21,2100000,8.498303299
5425,3,B,9,22.5,17000000,8.882113377
5425,3,B,9,22.5,14000000,8.924991688
5425,3,B,9,22.5,17000000,8.961208628
5425,3,C,0,7.5,210000,8.097999929
5425,3,C,0,7.5,150000,8.10013286
5425,3,C,0,7.5,310000,8.103737005
5425,3,C,3,20.7,1700000,8.324318042
5425,3,C,3,20.7,2100000,8.328075935
5425,3,C,3,20.7,1500000,8.393571532
5425,3,C,9,14.5,8000000,8.961292539
5425,3,C,9,14.5,6000000,9.011254573
5425,3,C,9,14.5,6000000,9.027692608
5425,3,C,6,15,3000000,8.878400768
5425,3,C,6,15,11000000,8.920646393
5425,3,C,6,15,6000000,8.951968125
5425,5,A,0,11.9,7000,7.689613895
5425,5,A,0,11.9,3000,7.751431664
5425,5,A,0,11.9,8000,7.783575816
5425,5,A,6,15.2,1800000,8.973874086
5425,5,A,6,15.2,2100000,9.034108325
5425,5,A,6,15.2,1900000,9.049259831
5425,5,A,9,9.2,17000000,8.688864894
5425,5,A,9,9.2,12000000,8.703902559
5425,5,A,3,6.2,1800000,8.763165906
5425,5,A,9,9.2,16000000,8.935327078
5425,5,A,3,6.2,1800000,8.951621305
5425,5,A,3,6.2,2400000,8.980164873
5425,5,B,0,15.8,3000,7.662689354
5425,5,B,0,15.8,2000,7.668338958
5425,5,B,0,15.8,2000,7.691010598
5425,5,B,9,16.1,NA,8.842910123
5425,5,B,9,16.1,24000000,8.856096327
5425,5,B,9,16.1,17000000,8.948986128
5425,5,B,3,17.2,3800000,8.84884547
5425,5,B,6,16.5,12000000,8.855743403
5425,5,B,6,16.5,3000000,8.95143242
5425,5,B,3,17.2,3200000,8.667747339
5425,5,B,3,17.2,3300000,8.680479445
5425,5,B,6,16.5,7000000,8.788037783
5425,5,C,0,12.7,3000,7.543899338
5425,5,C,0,12.7,2000,7.67856826
5425,5,C,0,12.7,3000,7.705435971
5425,5,C,3,13,900000,8.535891768
5425,5,C,3,13,500000,8.614182647
5425,5,C,3,13,600000,8.692657823
5425,5,C,9,12,9000000,8.989370105
5425,5,C,9,12,6000000,9.014847635
5425,5,C,9,12,11000000,9.073984111
5425,5,C,6,12.6,20000000,8.788146016
5425,5,C,6,12.6,7000000,8.798535863
5425,5,C,6,12.6,3000000,8.801530905
5425,7,A,9,14.2,19000000,8.310076516
5425,7,A,9,14.2,20000000,8.391490433
5425,7,A,0,22.2,400000,8.41398782
5425,7,A,9,14.2,33000000,9.555211086
5425,7,A,0,22.2,600000,9.56986026
5425,7,A,6,19.1,10000000,9.581294894
5425,7,A,0,22.2,500000,8.398229428
5425,7,A,6,19.1,13000000,8.471249826
5425,7,A,6,19.1,8000000,8.481871289
5425,7,A,3,20.5,11000000,8.255017933
5425,7,A,3,20.5,13000000,8.298512581
5425,7,A,3,20.5,18000000,8.332655167
5425,7,B,9,15.4,11000000,8.349421925
5425,7,B,9,15.4,14000000,8.391855846
5425,7,B,0,32.5,600000,8.465099259
5425,7,B,0,32.5,200000,9.536323186
5425,7,B,0,32.5,400000,9.564916569
5425,7,B,6,22.6,17000000,9.565027511
5425,7,B,6,22.6,11000000,8.526614822
5425,7,B,6,22.6,11000000,8.545242272
