Population,GenotypeID,Resitance,Population_GenotypeID,LeafletID,DPI,Leaflet_Weight,CFU,LOG_CFU,Genome_copies
5425,3,S,5425_3,A,0,15.2,21000,4.322219295,7.702863057
5425,3,S,5425_3,A,0,15.2,16000,4.204119983,7.821409865
5425,3,S,5425_3,A,0,15.2,14000,4.146128036,7.908776634
5425,3,S,5425_3,A,3,18.4,220000,5.342422681,8.117346009
5425,3,S,5425_3,A,3,18.4,160000,5.204119983,8.127487577
5425,3,S,5425_3,A,3,18.4,260000,5.414973348,8.169373155
5425,3,S,5425_3,A,6,16.2,2400000,6.380211242,8.56563548
5425,3,S,5425_3,A,6,16.2,2500000,6.397940009,8.620586745
5425,3,S,5425_3,A,6,16.2,3300000,6.51851394,8.676509791
5425,3,S,5425_3,A,9,23.4,4000000,6.602059991,8.597807699
5425,3,S,5425_3,A,9,23.4,5000000,6.698970004,8.651866602
5425,3,S,5425_3,A,9,23.4,3000000,6.477121255,8.660332696
5425,3,S,5425_3,B,0,21.3,23000,4.361727836,7.722807167
5425,3,S,5425_3,B,0,21.3,80000,4.903089987,7.802538158
5425,3,S,5425_3,B,0,21.3,39000,4.591064607,7.815469392
5425,3,S,5425_3,B,3,27.8,NA,NA,7.448910444
5425,3,S,5425_3,B,3,27.8,NA,NA,7.476571816
5425,3,S,5425_3,B,3,27.8,NA,NA,7.506887885
5425,3,S,5425_3,B,6,21,1500000,6.176091259,8.473492139
5425,3,S,5425_3,B,6,21,1200000,6.079181246,8.488407598
5425,3,S,5425_3,B,6,21,2100000,6.322219295,8.498303299
5425,3,S,5425_3,B,9,22.5,17000000,7.230448921,8.882113377
5425,3,S,5425_3,B,9,22.5,14000000,7.146128036,8.924991688
5425,3,S,5425_3,B,9,22.5,17000000,7.230448921,8.961208628
5425,3,S,5425_3,C,0,7.5,210000,5.322219295,8.097999929
5425,3,S,5425_3,C,0,7.5,150000,5.176091259,8.10013286
5425,3,S,5425_3,C,0,7.5,310000,5.491361694,8.103737005
5425,3,S,5425_3,C,3,20.7,1700000,6.230448921,8.324318042
5425,3,S,5425_3,C,3,20.7,2100000,6.322219295,8.328075935
5425,3,S,5425_3,C,3,20.7,1500000,6.176091259,8.393571532
5425,3,S,5425_3,C,6,15,3000000,6.477121255,8.961292539
5425,3,S,5425_3,C,6,15,11000000,7.041392685,9.011254573
5425,3,S,5425_3,C,6,15,6000000,6.77815125,9.027692608
5425,3,S,5425_3,C,9,14.5,8000000,6.903089987,8.878400768
5425,3,S,5425_3,C,9,14.5,6000000,6.77815125,8.920646393
5425,3,S,5425_3,C,9,14.5,6000000,6.77815125,8.951968125
5425,5,S,5425_5,A,0,11.9,7000,3.84509804,7.689613895
5425,5,S,5425_5,A,0,11.9,3000,3.477121255,7.751431664
5425,5,S,5425_5,A,0,11.9,8000,3.903089987,7.783575816
5425,5,S,5425_5,A,3,6.2,1800000,6.255272505,8.973874086
5425,5,S,5425_5,A,3,6.2,1800000,6.255272505,9.034108325
5425,5,S,5425_5,A,3,6.2,2400000,6.380211242,9.049259831
5425,5,S,5425_5,A,6,15.2,1800000,6.255272505,8.688864894
5425,5,S,5425_5,A,6,15.2,2100000,6.322219295,8.703902559
5425,5,S,5425_5,A,6,15.2,1900000,6.278753601,8.763165906
5425,5,S,5425_5,A,9,9.2,17000000,7.230448921,8.935327078
5425,5,S,5425_5,A,9,9.2,12000000,7.079181246,8.951621305
5425,5,S,5425_5,A,9,9.2,16000000,7.204119983,8.980164873
5425,5,S,5425_5,B,0,15.8,3000,3.477121255,7.662689354
5425,5,S,5425_5,B,0,15.8,2000,3.301029996,7.668338958
5425,5,S,5425_5,B,0,15.8,2000,3.301029996,7.691010598
5425,5,S,5425_5,B,3,17.2,3800000,6.579783597,8.842910123
5425,5,S,5425_5,B,3,17.2,3200000,6.505149978,8.856096327
5425,5,S,5425_5,B,3,17.2,3300000,6.51851394,8.948986128
5425,5,S,5425_5,B,6,16.5,12000000,7.079181246,8.84884547
5425,5,S,5425_5,B,6,16.5,3000000,6.477121255,8.855743403
5425,5,S,5425_5,B,6,16.5,7000000,6.84509804,8.95143242
5425,5,S,5425_5,B,9,16.1,NA,NA,8.667747339
5425,5,S,5425_5,B,9,16.1,24000000,7.380211242,8.680479445
5425,5,S,5425_5,B,9,16.1,17000000,7.230448921,8.788037783
5425,5,S,5425_5,C,0,12.7,3000,3.477121255,7.543899338
5425,5,S,5425_5,C,0,12.7,2000,3.301029996,7.67856826
5425,5,S,5425_5,C,0,12.7,3000,3.477121255,7.705435971
5425,5,S,5425_5,C,3,13,900000,5.954242509,8.535891768
5425,5,S,5425_5,C,3,13,500000,5.698970004,8.614182647
5425,5,S,5425_5,C,3,13,600000,5.77815125,8.692657823
5425,5,S,5425_5,C,6,12.6,20000000,7.301029996,8.989370105
5425,5,S,5425_5,C,6,12.6,7000000,6.84509804,9.014847635
5425,5,S,5425_5,C,6,12.6,3000000,6.477121255,9.073984111
5425,5,S,5425_5,C,9,12,9000000,6.954242509,8.788146016
5425,5,S,5425_5,C,9,12,6000000,6.77815125,8.798535863
5425,5,S,5425_5,C,9,12,11000000,7.041392685,8.801530905
5425,7,S,5425_7,A,0,22.2,400000,5.602059991,8.310076516
5425,7,S,5425_7,A,0,22.2,600000,5.77815125,8.391490433
5425,7,S,5425_7,A,0,22.2,500000,5.698970004,8.41398782
5425,7,S,5425_7,A,3,20.5,11000000,7.041392685,9.555211086
5425,7,S,5425_7,A,3,20.5,13000000,7.113943352,9.56986026
5425,7,S,5425_7,A,3,20.5,18000000,7.255272505,9.581294894
5425,7,S,5425_7,A,6,19.1,10000000,7,8.398229428
5425,7,S,5425_7,A,6,19.1,13000000,7.113943352,8.471249826
5425,7,S,5425_7,A,6,19.1,8000000,6.903089987,8.481871289
5425,7,S,5425_7,A,9,14.2,19000000,7.278753601,8.255017933
5425,7,S,5425_7,A,9,14.2,20000000,7.301029996,8.298512581
5425,7,S,5425_7,A,9,14.2,33000000,7.51851394,8.332655167
5425,7,S,5425_7,B,0,32.5,600000,5.77815125,8.349421925
5425,7,S,5425_7,B,0,32.5,200000,5.301029996,8.391855846
5425,7,S,5425_7,B,0,32.5,400000,5.602059991,8.465099259
5425,7,S,5425_7,B,3,26.5,16000000,7.204119983,9.536323186
5425,7,S,5425_7,B,3,26.5,16000000,7.204119983,9.564916569
5425,7,S,5425_7,B,3,26.5,13000000,7.113943352,9.565027511
5425,7,S,5425_7,B,6,22.6,17000000,7.230448921,8.526614822
5425,7,S,5425_7,B,6,22.6,11000000,7.041392685,8.545242272
5425,7,S,5425_7,B,6,22.6,11000000,7.041392685,8.580458082
5425,7,S,5425_7,B,9,15.4,11000000,7.041392685,7.965207418
5425,7,S,5425_7,B,9,15.4,14000000,7.146128036,8.077713779
5425,7,S,5425_7,B,9,15.4,25000000,7.397940009,NA
5425,7,S,5425_7,C,0,30.7,600000,5.77815125,8.354941604
5425,7,S,5425_7,C,0,30.7,500000,5.698970004,8.41819668
5425,7,S,5425_7,C,0,30.7,300000,5.477121255,8.453478768
5425,7,S,5425_7,C,3,20,4000000,6.602059991,9.418551679
5425,7,S,5425_7,C,3,20,2000000,6.301029996,9.469414985
5425,7,S,5425_7,C,3,20,6000000,6.77815125,9.487447335
5425,7,S,5425_7,C,6,21.9,4000000,6.602059991,8.347081167
5425,7,S,5425_7,C,6,21.9,6000000,6.77815125,8.368262103
5425,7,S,5425_7,C,6,21.9,8000000,6.903089987,8.406752072
5425,7,S,5425_7,C,9,10.2,21000000,7.322219295,8.407601041
5425,7,S,5425_7,C,9,10.2,32000000,7.505149978,8.409170122
5425,7,S,5425_7,C,9,10.2,17000000,7.230448921,8.439070803
5425,14,S,5425_14,A,0,23.3,10000,4,7.430453734
5425,14,S,5425_14,A,0,23.3,10000,4,7.467260044
5425,14,S,5425_14,A,0,23.3,12000,4.079181246,7.54157043
5425,14,S,5425_14,A,3,33.1,8000000,6.903089987,8.416378936
5425,14,S,5425_14,A,3,33.1,7000000,6.84509804,8.483875735
5425,14,S,5425_14,A,3,33.1,6000000,6.77815125,8.494611256
5425,14,S,5425_14,A,6,17.5,7000000,6.84509804,8.949160638
5425,14,S,5425_14,A,6,17.5,11000000,7.041392685,8.95069893
5425,14,S,5425_14,A,6,17.5,7000000,6.84509804,8.978539195
5425,14,S,5425_14,A,9,38.7,32000000,7.505149978,9.061369242
5425,14,S,5425_14,A,9,38.7,36000000,7.556302501,9.123640285
5425,14,S,5425_14,A,9,38.7,30000000,7.477121255,9.131577546
5425,14,S,5425_14,B,0,27.4,23000,4.361727836,7.573746887
5425,14,S,5425_14,B,0,27.4,130000,5.113943352,7.578115324
5425,14,S,5425_14,B,0,27.4,11000,4.041392685,7.773636506
5425,14,S,5425_14,B,3,23.9,13000000,7.113943352,8.861315102
5425,14,S,5425_14,B,3,23.9,10000000,7,8.887707886
5425,14,S,5425_14,B,3,23.9,22000000,7.342422681,8.898254846
5425,14,S,5425_14,B,6,23.7,7000000,6.84509804,8.74964509
5425,14,S,5425_14,B,6,23.7,7000000,6.84509804,8.756742054
5425,14,S,5425_14,B,6,23.7,3000000,6.477121255,8.788998605
5425,14,S,5425_14,B,9,34.8,10000000,7,8.964752721
5425,14,S,5425_14,B,9,34.8,17000000,7.230448921,9.017732036
5425,14,S,5425_14,B,9,34.8,11000000,7.041392685,9.021530931
5425,14,S,5425_14,C,0,25.1,9000,3.954242509,7.261545735
5425,14,S,5425_14,C,0,25.1,10000,4,7.3121585
5425,14,S,5425_14,C,0,25.1,12000,4.079181246,7.324556896
5425,14,S,5425_14,C,3,26.7,17000000,7.230448921,8.988802535
5425,14,S,5425_14,C,3,26.7,12000000,7.079181246,9.012542906
5425,14,S,5425_14,C,3,26.7,19000000,7.278753601,9.047288611
5425,14,S,5425_14,C,6,19.4,NA,NA,8.963539965
5425,14,S,5425_14,C,6,19.4,NA,NA,9.001241397
5425,14,S,5425_14,C,6,19.4,NA,NA,9.023054268
5425,14,S,5425_14,C,9,37,22000000,7.342422681,9.03220821
5425,14,S,5425_14,C,9,37,19000000,7.278753601,9.046588486
5425,14,S,5425_14,C,9,37,30000000,7.477121255,9.095171708
